<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLA.US,60,20220210,160000,302.79,310.073,301.993,309.213,5240397,0
TSLA.US,60,20220210,170000,309.217,314.603,308.247,312.29,6813300,0
TSLA.US,60,20220210,180000,312.333,312.93,309.033,311.902,4433193,0
TSLA.US,60,20220210,190000,311.923,312.06,307.067,308.534,2777736,0
TSLA.US,60,20220210,200000,308.41,309.103,303.833,306.943,4307670,0
TSLA.US,60,20220210,210000,306.99,307.231,302.93,303.711,3759660,0
TSLA.US,60,20220210,220000,303.797,304.303,298.9,301.55,7293543,0
TSLA.US,60,20220211,160000,303.21,305.32,299.447,299.653,4972956,0
TSLA.US,60,20220211,170000,299.603,301.48,294.833,295.56,7611126,0
TSLA.US,60,20220211,180000,295.49,297,294.033,295.342,4497486,0
TSLA.US,60,20220211,190000,295.333,297.49,294.2,294.47,3016914,0
TSLA.US,60,20220211,200000,294.433,295.967,289.333,290.047,5334519,0
TSLA.US,60,20220211,210000,290.033,290.9,284.003,285.18,6689589,0
TSLA.US,60,20220211,220000,285.187,288.667,283.567,286.667,9960201,0
TSLA.US,60,20220214,160000,287.19,292.989,284.383,291,5242353,0
TSLA.US,60,20220214,170000,290.89,295.687,290.267,295.028,4973328,0
TSLA.US,60,20220214,180000,295.123,299.627,294.723,296.862,5359743,0
TSLA.US,60,20220214,190000,296.827,298.477,294.72,294.817,2588850,0
TSLA.US,60,20220214,200000,294.793,295.583,287.377,287.593,4019994,0
TSLA.US,60,20220214,210000,287.627,291.662,286.347,291.223,5596608,0
TSLA.US,60,20220214,220000,291.283,292.833,289.333,291.92,6037155,0
TSLA.US,60,20220215,160000,300,305.267,297.792,304.864,6767367,0
TSLA.US,60,20220215,170000,304.923,307.266,304.597,305.446,7404315,0
TSLA.US,60,20220215,180000,305.55,306.9,304.777,305.89,2829966,0
TSLA.US,60,20220215,190000,305.907,305.98,302.834,304.14,2929050,0
TSLA.US,60,20220215,200000,304.2,306.447,304,305.67,2420511,0
TSLA.US,60,20220215,210000,305.747,306.293,304.333,305.455,2213700,0
TSLA.US,60,20220215,220000,305.42,307.667,304.4,307.477,6131415,0
TSLA.US,60,20220216,160000,304.683,305.887,301.097,301.767,3857313,0
TSLA.US,60,20220216,170000,301.677,305.285,300.987,304.378,4227075,0
TSLA.US,60,20220216,180000,304.347,305.473,302.782,303.667,2175294,0
TSLA.US,60,20220216,190000,303.634,304.96,301.563,301.787,2458815,0
TSLA.US,60,20220216,200000,301.727,302.45,300.403,301.537,1795695,0
TSLA.US,60,20220216,210000,301.337,308.558,300.467,307.227,6029997,0
TSLA.US,60,20220216,220000,307.33,308.81,306.7,307.797,5855178,0
TSLA.US,60,20220217,160000,304.42,306.167,301.766,302.566,3171522,0
TSLA.US,60,20220217,170000,302.563,303.52,296,297.619,5499057,0
TSLA.US,60,20220217,180000,297.653,299.727,295.617,296.426,4100025,0
TSLA.US,60,20220217,190000,296.383,298.117,295.523,295.893,3187818,0
TSLA.US,60,20220217,200000,295.957,296.033,293.373,293.687,3453918,0
TSLA.US,60,20220217,210000,293.71,293.947,292,292.733,3273354,0
TSLA.US,60,20220217,220000,292.703,293.547,291.367,292.123,6625584,0
